"created_at","reference","mid","bank_mid","partner_id","merchant_name","payment_type","card_issuer","bank_acquirer","card_scheme","card_number","currency","transaction_amount","paying_amount","mdr_percent","mdr_deduction","vat_amount","withholding_tax","term_month","int_rate (%)","int_absorb_by","interest","interest_vat","mdr","status","approval_code","order_id","description","promotion_code","bank_reference","approved_at","settled_at","voided_at","field_1","field_2","field_3","field_4","field_5"
"21/01/2021 10:56:22","20210121105622139975","3369609426","401043343536001","1596090852","Sweets Shop","INSTALLMENT","KBANK","KBANK","MASTERCARD","540488******0006","THB","3392.0000",,0.5,,,,3,0.8,"M",,,0.5,"PENDING",,"Order100402394","","","card_test_octopus_20210121035727867","","","","","","","",""
"21/01/2021 10:51:37","20210121105137495956","3369609426",,"1596090852","Sweets Shop","INSTALLMENT",,,,,"THB","2255.0000",,0.5,,,,,,"M",,,0.5,"PENDING",,"Order100842905","","",,"","","","","","","",""
"21/01/2021 10:07:59","20210121100759063602","3369609426","1000011957","1596090852","Sweets Shop","INSTALLMENT","SCB","SCB","VISA","454852******0008","THB","4393.0000","4369.4975",0.5,"21.9650","1.5376","0.6589",3,0,"M","0.0000","0.0000",0.5,"APPROVED","DoaFPU","Order100141671","","","card_test_octopus_20210121030817423","21/01/2021 10:08:22","","","","","","",""
"21/01/2021 10:01:25","20210121100125421049","3369609426","401043343536001","1596090852","Sweets Shop","INSTALLMENT","KBANK","KBANK","MASTERCARD","540488******0006","THB","4236.0000","4104.5569",0.5,"21.1800","1.4826","0.6354",3,0.8,"M","101.6640","7.1165",0.5,"APPROVED","dnupgX","Order100605981","","","card_test_octopus_20210121030143644","21/01/2021 10:01:48","","","","","","",""
"20/01/2021 19:02:38","20210120190238425716","3369609426","401043343536001","1596090852","Sweets Shop","INSTALLMENT","KBANK","KBANK","MASTERCARD","540488******0006","THB","9613.0000","9314.7086",0.5,"48.0650","3.3646","1.4419",3,0.8,"M","230.7120","16.1498",0.5,"APPROVED","wCTEsN","Order100894719","","","card_test_octopus_20210120120256481","20/01/2021 19:03:01","","","","","","",""
"20/01/2021 19:00:27","20210120190027418837","3369609426",,"1596090852","Sweets Shop","INSTALLMENT",,,,,"THB","100.0000",,0.5,,,,,,"M",,,0.5,"PENDING",,"WD202101","","",,"","","","","","","",""
"20/01/2021 18:58:57","20210120185857149941","3369609426",,"1596090852","Sweets Shop","INSTALLMENT",,,,,"THB","7347.0000",,0.5,,,,,,"M",,,0.5,"PENDING",,"Order100827403","","",,"","","","","","","",""
"20/01/2021 18:58:10","20210120185810288026","3369609426",,"1596090852","Sweets Shop","INSTALLMENT",,,,,"THB","6366.0000",,0.5,,,,,,"M",,,0.5,"PENDING",,"Order100960352","","",,"","","","","","","",""
"20/01/2021 18:56:25","20210120185625681976","3369609426",,"1596090852","Sweets Shop","INSTALLMENT",,,,,"THB","5680.0000",,0.5,,,,,,"M",,,0.5,"PENDING",,"Order100309560","","",,"","","","","","","",""
"20/01/2021 18:34:10","20210120183410827767","3369609426","401043343536001","1596090852","Sweets Shop","INSTALLMENT","KBANK","KBANK","MASTERCARD","540488******0006","THB","7822.0000","7579.2833",0.5,"39.1100","2.7377","1.1733",3,0.8,"M","187.7280","13.1410",0.5,"APPROVED","QPL1sH","Order100796261","","","card_test_octopus_20210120113429139","20/01/2021 18:34:34","","","","","","",""
"20/01/2021 17:41:03","20210120174103671263","0388675541",,"1594811095","Milk Shop","INSTALLMENT",,,,,"THB","7237.0000",,3.5,,,,,,"M",,,3.5,"PENDING",,"Order100963791","","",,"","","","","","","",""
"20/01/2021 17:40:49","20210120174049801648","0388675541","1000011957","1594811095","Milk Shop","INSTALLMENT","SCB","SCB","VISA","454852******0008","THB","2775.0000","2599.8143",3.5,"97.1250","6.7988","2.9138",3,0.8,"M","66.6000","4.6620",3.5,"APPROVED","RHQ3a1","Order100360104","","","card_test_octopus_20210120104055966","20/01/2021 17:40:57","","","","","","",""
"20/01/2021 17:40:33","20210120174033658878","0388675541","000401374","1594811095","Milk Shop","INSTALLMENT","KTC","KTC","VISA","430445******0002","THB","7104.0000","6712.5341",3.5,"248.6400","17.4048","7.4592",3,0.55,"M","117.2160","8.2051",3.5,"APPROVED","AVRexY","Order100384108","","","card_test_octopus_20210120104041285","20/01/2021 17:40:42","","","","","","",""
"20/01/2021 17:40:19","20210120174019557844","0388675541","401043343536001","1594811095","Milk Shop","INSTALLMENT","KBANK","KBANK","MASTERCARD","540488******0006","THB","7646.0000","7163.3080",3.5,"267.6100","18.7327","8.0283",3,0.8,"M","183.5040","12.8453",3.5,"APPROVED","dy0Lgs","Order100411661","","","card_test_octopus_20210120104025874","20/01/2021 17:40:27","","","","","","",""
"20/01/2021 17:38:53","20210120173853361461","0388675541",,"1594811095","Milk Shop","INSTALLMENT",,,,,"THB","123.0000",,3.5,,,,,,"M",,,3.5,"PENDING",,"y467890","","",,"","","","","","","",""
"20/01/2021 17:37:14","20210120173714818643","0388675541",,"1594811095","Milk Shop","INSTALLMENT",,,,,"THB","5341.0000",,3.5,,,,,,"M",,,3.5,"PENDING",,"Order100642300","","",,"","","","","","","",""
"20/01/2021 17:14:01","20210120171401634453","0388675541",,"1594811095","Milk Shop","INSTALLMENT",,,,,"THB","2121.0000",,3.5,,,,,,"M",,,3.5,"PENDING",,"Order100552188","","",,"","","","","","","",""
"20/01/2021 17:11:28","20210120171128572224","0388675541",,"1594811095","Milk Shop","INSTALLMENT",,,,,"THB","2121.0000",,3.5,,,,,,"M",,,3.5,"PENDING",,"Order100939158","","",,"","","","","","","",""
"20/01/2021 17:07:08","20210120170708365985","0388675541",,"1594811095","Milk Shop","INSTALLMENT",,,,,"THB","2121.0000",,3.5,,,,,,"M",,,3.5,"CANCELED",,"Order100729602","","",,"","","","","","","",""
"20/01/2021 17:05:18","20210120170518625966","0388675541",,"1594811095","Milk Shop","INSTALLMENT",,,,,"THB","2121.0000",,3.5,,,,,,"M",,,3.5,"PENDING",,"Order100","","",,"","","","","","","",""
"20/01/2021 17:00:06","20210120170006795081","0388675541",,"1594811095","Milk Shop","INSTALLMENT",,,,,"THB","2121.0000",,3.5,,,,,,"M",,,3.5,"PENDING",,"Order100455918","","",,"","","","","","","",""
"20/01/2021 13:30:49","20210120133049691432","2496610311",,"1608538965","DIGIO TEST","INSTALLMENT",,,,,"THB","5000.0000",,0.8,,,,,,"M",,,0.8,"CANCELED",,"1020002002","Testsi","TEST20",,"","","","a","b","c","d","e"
"20/01/2021 13:28:06","20210120132806677840","2496610311",,"1608538965","DIGIO TEST","INSTALLMENT",,,,,"THB","3000.0000",,0.8,,,,,,"M",,,0.8,"CANCELED",,"1020200","","",,"","","","","","","",""
"19/01/2021 15:44:55","20210119154455689793","2990118921",,"1608538965","DIGIO TEST","FULL",,,"UNIONPAY",,"THB","6900.0000",,0,,,,,,,,,0,"PRE_AUTHORIZED",,"120000230","","","chrg_test_206324c08ed963d4b4e74855b56e7a13c3d33","","","","","","","",""
"19/01/2021 15:19:34","20210119151934425670","2496610311",,"1608538965","DIGIO TEST","INSTALLMENT",,,,,"THB","200.0000",,0.8,,,,,,"M",,,0.8,"CANCELED",,"120000230","","",,"","","","","","","",""
"19/01/2021 15:07:02","20210119150702354397","2496610311","1000011957","1608538965","DIGIO TEST","INSTALLMENT","SCB","SCB","VISA","454852******0008","THB","320.0000",,0.8,,,,5,0.8,"M",,,0.8,"CANCELED",,"1234440","","","card_test_octopus_20210119080718038","","","","","","","",""
"19/01/2021 15:00:28","20210119150028018752","0388675541","401043343536001","1594811095","Milk Shop","INSTALLMENT","KBANK","KBANK","MASTERCARD","540488******0006","THB","7529.0000","7053.6942",3.5,"263.5150","18.4461","7.9054",3,0.8,"M","180.6960","12.6487",3.5,"APPROVED","vmclrK","Order100247621","","","card_test_octopus_20210119080045351","19/01/2021 15:00:50","","","","","","",""
"19/01/2021 14:57:47","20210119145747833674","2496610311","1000011957","1608538965","DIGIO TEST","INSTALLMENT","SCB","SCB","VISA","454852******0008","THB","220.0000",,0.8,,,,5,0.8,"M",,,0.8,"CANCELED",,"123444002113","","","card_test_octopus_20210119075803989","","","","","","","",""
"19/01/2021 14:55:10","20210119145510332074","2496610311","401043343536001","1608538965","DIGIO TEST","INSTALLMENT","KBANK","KBANK","MASTERCARD","523962******0264","THB","200.0000",,0.8,,,,5,0.8,"M",,,0.8,"PRE_AUTHORIZED",,"1234440021","","","chrg_test_206324c27d1a4a0e249bdb94ce433dd34e3a4","","","","","","","",""
"19/01/2021 14:53:02","20210119145302983792","2496610311","401043343536001","1608538965","DIGIO TEST","INSTALLMENT","KBANK","KBANK","MASTERCARD","523962******0264","THB","3000.0000",,0.8,,,,5,0.8,"M",,,0.8,"FAILED",,"123444002","","","chrg_test_20632fc2f484eba5847d5bd6ad4cc101b2851","","","","","","","",""
"19/01/2021 14:47:22","20210119144722545840","0388675541","401043343536001","1594811095","Milk Shop","INSTALLMENT","KBANK","KBANK","MASTERCARD","540488******0006","THB","2229.0000","2088.2832",3.5,"78.0150","5.4611","2.3405",3,0.8,"M","53.4960","3.7447",3.5,"APPROVED","FBc5Ud","Order100592678","","","card_test_octopus_20210119074729096","19/01/2021 14:47:30","","","","","","",""
"19/01/2021 14:47:21","20210119144721919826","2496610311","1000011957","1608538965","DIGIO TEST","INSTALLMENT","SCB","SCB","MASTERCARD","541496******0004","THB","3400.0000",,0.8,,,,8,0.8,"M",,,0.8,"CANCELED",,"10203903","","","card_test_octopus_20210119074751501","","","","","","","",""
"19/01/2021 14:45:58","20210119144558742925","2496610311",,"1608538965","DIGIO TEST","INSTALLMENT",,,,,"THB","100.0000",,0.8,,,,,,"M",,,0.8,"CANCELED",,"123330020","","",,"","","","","","","",""
"19/01/2021 14:07:18","210119140790607","0056759462","010555503769380","1608538965","DIGIO TEST","QR_PP_TAG30","TMB","TMB",,,"THB","30000.0000","30000.0000",0,"0.0000","0.0000","0.0000",,,,"0.0000",,0,"CANCELED","ljdtRS","1000924","","","16110400673916584","19/01/2021 14:07:47","","","","","","",""
"19/01/2021 13:42:56","20210119134256586231","2496610311",,"1608538965","DIGIO TEST","INSTALLMENT",,,,,"THB","3000.0000",,0.8,,,,,,"M",,,0.8,"CANCELED",,"100020","","",,"","","","","","","",""
"19/01/2021 13:35:34","20210119133534455371","2496610311","401043343536001","1608538965","DIGIO TEST","INSTALLMENT","KBANK","KBANK","MASTERCARD","523962******0264","THB","3400.0000",,0.8,,,,8,0.8,"M",,,0.8,"PRE_AUTHORIZED",,"20009","","","chrg_test_206322e3eb74ef81b4046b32f9cb4d835114e","","","","","","","",""
"19/01/2021 13:32:34","20210119133234301923","2496610311","401043343536001","1608538965","DIGIO TEST","INSTALLMENT","KBANK","KBANK","MASTERCARD","523962******0264","THB","2000.0000",,0.8,,,,9,0.8,"M",,,0.8,"APPROVED",,"10000009","","","chrg_test_20632ce8334c446264d699898828ba6700665","19/01/2021 13:33:48","","","","","","",""
